gpu_name,gpu_uuid,elapsed_seconds,nvidia_timestamp,gpu_clock_mhz,memory_clock_mhz,temperature_c,power_w,gpu_utilization_percent,memory_used_mb,throughput_tflops
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,400.33,2026/09/22 09:32:05.464,1575,7001,68,79.78,97,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,405.41,2026/09/22 09:32:10.528,1552,7001,68,79.62,97,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,410.47,2026/09/22 09:32:15.574,1575,7001,68,79.64,98,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,415.52,2026/09/22 09:32:20.650,1567,7001,69,79.71,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,420.59,2026/09/22 09:32:25.715,1560,7001,68,79.67,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,425.66,2026/09/22 09:32:30.781,1552,7001,69,79.73,97,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,430.73,2026/09/22 09:32:35.864,1552,7001,68,79.80,97,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,435.81,2026/09/22 09:32:40.950,1755,7001,68,78.27,58,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,440.91,2026/09/22 09:32:46.034,1575,7001,68,79.87,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,445.98,2026/09/22 09:32:51.120,1552,7001,68,79.64,97,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,451.06,2026/09/22 09:32:56.185,1552,7001,68,79.65,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,456.12,2026/09/22 09:33:01.263,1552,7001,68,79.89,96,263,21.5504
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,461.22,2026/09/22 09:33:06.346,1567,7001,68,79.86,97,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,466.3,2026/09/22 09:33:11.430,1590,7001,69,80.04,97,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,471.36,2026/09/22 09:33:16.494,1575,7001,68,79.74,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,476.45,2026/09/22 09:33:21.574,1582,7001,68,79.60,97,263,21.7557
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,481.52,2026/09/22 09:33:26.637,1552,7001,68,79.60,97,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,486.58,2026/09/22 09:33:31.699,1567,7001,68,79.78,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,491.64,2026/09/22 09:33:36.761,1567,7001,68,79.71,96,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,496.7,2026/09/22 09:33:41.840,1552,7001,68,79.88,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,501.8,2026/09/22 09:33:46.917,1567,7001,68,79.84,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,506.84,2026/09/22 09:33:51.967,1657,7001,68,79.84,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,511.91,2026/09/22 09:33:57.043,1567,7001,68,79.80,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,517.0,2026/09/22 09:34:02.124,1567,7001,68,79.61,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,522.08,2026/09/22 09:34:07.199,1560,7001,68,79.68,97,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,527.14,2026/09/22 09:34:12.275,1575,7001,68,79.85,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,532.23,2026/09/22 09:34:17.359,1567,7001,68,79.97,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,537.31,2026/09/22 09:34:22.443,1567,7001,68,79.87,97,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,542.39,2026/09/22 09:34:27.512,1552,7001,68,79.84,98,263,21.5504
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,547.45,2026/09/22 09:34:32.573,1567,7001,68,79.95,97,263,21.4955
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,552.52,2026/09/22 09:34:37.642,1567,7001,68,79.76,97,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,557.59,2026/09/22 09:34:42.714,1567,7001,68,79.61,98,263,21.6329
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,562.66,2026/09/22 09:34:47.768,1582,7001,68,79.78,97,263,21.9353
